ID	RoofID	RoofName	Veg_Type	Species 	Genus	Family	Life_form	Roof_age	Age
MR_4_P6	MR_4	Fieldston_NativePlant	Mixed_vegetation	Erigeron annuus	Erigeron	Asteraceae	Forb	2007	2004-2008
MR_4_P8	MR_4	Fieldston_NativePlant	Mixed_vegetation	Erigeron annuus	Erigeron	Asteraceae	Forb	2007	2004-2008
MR_5_T1_1	MR_5	Hansborough	Mixed_vegetation	Erigeron annuus	Erigeron	Asteraceae	Forb	2010	2009-2012
MR_5_T1_2	MR_5	Hansborough	Mixed_vegetation	Erigeron annuus	Erigeron	Asteraceae	Forb	2010	2009-2012
MR_5_T1_3	MR_5	Hansborough	Mixed_vegetation	Erigeron annuus	Erigeron	Asteraceae	Forb	2010	2009-2012
MR_5_T2_1	MR_5	Hansborough	Mixed_vegetation	Erigeron annuus	Erigeron	Asteraceae	Forb	2010	2009-2012
MR_5_T2_3	MR_5	Hansborough	Mixed_vegetation	Erigeron annuus	Erigeron	Asteraceae	Forb	2010	2009-2012
MR_5_T3_1	MR_5	Hansborough	Mixed_vegetation	Erigeron annuus	Erigeron	Asteraceae	Forb	2010	2009-2012
MR_5_T3_3	MR_5	Hansborough	Mixed_vegetation	Erigeron annuus	Erigeron	Asteraceae	Forb	2010	2009-2012
MR_6_T1_1	MR_6	Jackie_Robinson	Mixed_vegetation	Erigeron annuus	Erigeron	Asteraceae	Forb	2010	2009-2012
MR_6_T1_3	MR_6	Jackie_Robinson	Mixed_vegetation	Erigeron annuus	Erigeron	Asteraceae	Forb	2010	2009-2012
MR_6_T2_1	MR_6	Jackie_Robinson	Mixed_vegetation	Erigeron annuus	Erigeron	Asteraceae	Forb	2010	2009-2012
MR_8_P3	MR_8	5Boro_Bioroof	Mixed_vegetation	Erigeron annuus	Erigeron	Asteraceae	Forb	2010	2009-2012
MR_8_P5	MR_8	5Boro_Bioroof	Mixed_vegetation	Erigeron annuus	Erigeron	Asteraceae	Forb	2010	2009-2012
MR_8_P6	MR_8	5Boro_Bioroof	Mixed_vegetation	Erigeron annuus	Erigeron	Asteraceae	Forb	2010	2009-2012
MR_8_P8	MR_8	5Boro_Bioroof	Mixed_vegetation	Erigeron annuus	Erigeron	Asteraceae	Forb	2010	2009-2012
MR_1_P7	MR_1	Diana_Center	Mixed_vegetation	Eupatorium hyssopifolium	Eupatorium	Asteraceae	Forb	2010	2009-2012
MR_15_P1	MR_15	BK_Grange_LIC	Mixed_vegetation	Eupatorium hyssopifolium	Eupatorium	Asteraceae	Forb	2010	2009-2012
MR_3_T1_2	MR_3	Chelsea	Mixed_vegetation	Eupatorium hyssopifolium	Eupatorium	Asteraceae	Forb	2010	2009-2012
MR_3_T3_3	MR_3	Chelsea	Mixed_vegetation	Eupatorium hyssopifolium	Eupatorium	Asteraceae	Forb	2010	2009-2012
MR_4_P1	MR_4	Fieldston_NativePlant	Mixed_vegetation	Eupatorium hyssopifolium	Eupatorium	Asteraceae	Forb	2007	2004-2008
MR_4_P2	MR_4	Fieldston_NativePlant	Mixed_vegetation	Eupatorium hyssopifolium	Eupatorium	Asteraceae	Forb	2007	2004-2008
MR_4_P3	MR_4	Fieldston_NativePlant	Mixed_vegetation	Eupatorium hyssopifolium	Eupatorium	Asteraceae	Forb	2007	2004-2008
MR_4_P4	MR_4	Fieldston_NativePlant	Mixed_vegetation	Eupatorium hyssopifolium	Eupatorium	Asteraceae	Forb	2007	2004-2008
MR_4_P5	MR_4	Fieldston_NativePlant	Mixed_vegetation	Eupatorium hyssopifolium	Eupatorium	Asteraceae	Forb	2007	2004-2008
MR_4_P7	MR_4	Fieldston_NativePlant	Mixed_vegetation	Eupatorium hyssopifolium	Eupatorium	Asteraceae	Forb	2007	2004-2008
MR_4_P9	MR_4	Fieldston_NativePlant	Mixed_vegetation	Eupatorium hyssopifolium	Eupatorium	Asteraceae	Forb	2007	2004-2008
MR_18_T2_3	MR_18	Kingsland_Wildflower	Mixed_vegetation	Gaillardia aristata	Gaillardia	Asteraceae	Forb	2017	2013-2017
MR_19_P1	MR_19	Wild_Project	Mixed_vegetation	Gaillardia pulchella	Gaillardia	Asteraceae	Forb	2007	2004-2008
MR_19_P5	MR_19	Wild_Project	Mixed_vegetation	Gaillardia pulchella	Gaillardia	Asteraceae	Forb	2007	2004-2008
MR_19_P9	MR_19	Wild_Project	Mixed_vegetation	Gaillardia pulchella	Gaillardia	Asteraceae	Forb	2007	2004-2008
MR_16_T1_3	MR_16	Grand_Street	Mixed_vegetation	Helianthus tuberosus	Helianthus	Asteraceae	Forb	2004	2004-2008
MR_7_P3	MR_7	5Boro_Wildflower	Mixed_vegetation	Helianthus tuberosus	Helianthus	Asteraceae	Forb	2009	2009-2012
